MODE,SCENARIO,FEE_BPS_PER_LEG,TIME_US,FREE_USDT,PAIR_A_RESERVED,PAIR_A_INVENTORY,PAIR_A_RETURN,PAIR_A_DUST,PAIR_B_RESERVED,PAIR_B_INVENTORY,PAIR_B_RETURN,PAIR_B_DUST,TOTAL_MARKED_EQUITY,GLOBAL_CAPITAL_CONSERVATION_RESIDUAL
SINGLE_PAIR,F0,0,1769907600000000,200,0,0,0,0,0,0,0,0,200,0
SINGLE_PAIR,F0,0,1769907602839823,99.9700,100.0300,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F0,0,1769909370139202,99.9650,100.0350,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F0,0,1769910733439209,99.9600,100.0400,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F0,0,1769910995039137,99.9650,100.0350,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F1,1,1769907600000000,200,0,0,0,0,0,0,0,0,200,0
SINGLE_PAIR,F1,1,1769907602839823,119.9800,80.0200,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F1,1,1769909370139202,119.9760,80.0240,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F1,1,1769910733439209,119.9720,80.0280,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F1,1,1769910995039137,119.9760,80.0240,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F2,2,1769907600000000,200,0,0,0,0,0,0,0,0,200,0
SINGLE_PAIR,F2,2,1769907602839823,139.9880,60.0120,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F2,2,1769909370139202,139.9850,60.0150,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F2,2,1769910733439209,139.9820,60.0180,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F2,2,1769910995039137,139.9850,60.0150,0,0,0,0,0,0,0,200.0000,0.0000
SINGLE_PAIR,F5,5,1769907600000000,200,0,0,0,0,0,0,0,0,200,0
SINGLE_PAIR,F10,10,1769907600000000,200,0,0,0,0,0,0,0,0,200,0
PARALLEL_TWO_PAIR,F0,0,1769907600000000,200,0,0,0,0,0,0,0,0,200,0
PARALLEL_TWO_PAIR,F0,0,1769907602839823,99.9700,100.0300,0,0,0,0,0,0,0,200.0000,0.0000
PARALLEL_TWO_PAIR,F0,0,1769907681295055,0.1800,100.0300,0,0,0,99.7900,0,0,0,200.0000,0.0000
PARALLEL_TWO_PAIR,F0,0,1769909370139202,0.1750,100.0350,0,0,0,99.7900,0,0,0,200.0000,0.0000
PARALLEL_TWO_PAIR,F0,0,1769909769095286,0.1700,100.0350,0,0,0,99.7950,0,0,0,200.0000,0.0000
PARALLEL_TWO_PAIR,F0,0,1769910733439209,0.1650,100.0400,0,0,0,99.7950,0,0,0,200.0000,0.0000
PARALLEL_TWO_PAIR,F0,0,1769910995039137,0.1700,100.0350,0,0,0,99.7950,0,0,0,200.0000,0.0000
PARALLEL_TWO_PAIR,F0,0,1769916925495567,0.1750,100.0350,0,0,0,99.7900,0,0,0,200.0000,0.0000
