MODE,SCENARIO,FEE_BPS_PER_LEG,TYPE,TIME_US,PAIR_ID,SYMBOL,CAPITAL,CYCLES,OLD_HOTLINE,NEW_HOTLINE,REASON,AFFECTED_C2_ORDER_IDS
SINGLE_PAIR,F0,0,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
SINGLE_PAIR,F0,0,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000002"", ""PAIR_A:O:000004"", ""PAIR_A:O:000006"", ""PAIR_A:O:000008"", ""PAIR_A:O:000010""]"
SINGLE_PAIR,F0,0,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000011"", ""PAIR_A:O:000012"", ""PAIR_A:O:000013"", ""PAIR_A:O:000014"", ""PAIR_A:O:000015""]"
SINGLE_PAIR,F0,0,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F0,0,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000016"", ""PAIR_A:O:000017"", ""PAIR_A:O:000018"", ""PAIR_A:O:000019"", ""PAIR_A:O:000020""]"
SINGLE_PAIR,F0,0,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000021"", ""PAIR_A:O:000022"", ""PAIR_A:O:000023"", ""PAIR_A:O:000024"", ""PAIR_A:O:000025""]"
SINGLE_PAIR,F0,0,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F0,0,CHECKPOINT,1769909400000000,PAIR_A,,100.0350,0,,,,
SINGLE_PAIR,F0,0,CHECKPOINT,1769911200000000,PAIR_A,,100.0350,0,,,,
SINGLE_PAIR,F0,0,CHECKPOINT,1769913000000000,PAIR_A,,100.0350,0,,,,
SINGLE_PAIR,F0,0,CHECKPOINT,1769914800000000,PAIR_A,,100.0350,0,,,,
SINGLE_PAIR,F0,0,CHECKPOINT,1769916600000000,PAIR_A,,100.0350,0,,,,
SINGLE_PAIR,F0,0,CHECKPOINT,1769918400000000,PAIR_A,,100.0350,0,,,,
SINGLE_PAIR,F1,1,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
SINGLE_PAIR,F1,1,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000002"", ""PAIR_A:O:000004"", ""PAIR_A:O:000006"", ""PAIR_A:O:000008""]"
SINGLE_PAIR,F1,1,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000009"", ""PAIR_A:O:000010"", ""PAIR_A:O:000011"", ""PAIR_A:O:000012""]"
SINGLE_PAIR,F1,1,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F1,1,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000013"", ""PAIR_A:O:000014"", ""PAIR_A:O:000015"", ""PAIR_A:O:000016""]"
SINGLE_PAIR,F1,1,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000017"", ""PAIR_A:O:000018"", ""PAIR_A:O:000019"", ""PAIR_A:O:000020""]"
SINGLE_PAIR,F1,1,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F1,1,CHECKPOINT,1769909400000000,PAIR_A,,80.0240,0,,,,
SINGLE_PAIR,F1,1,CHECKPOINT,1769911200000000,PAIR_A,,80.0240,0,,,,
SINGLE_PAIR,F1,1,CHECKPOINT,1769913000000000,PAIR_A,,80.0240,0,,,,
SINGLE_PAIR,F1,1,CHECKPOINT,1769914800000000,PAIR_A,,80.0240,0,,,,
SINGLE_PAIR,F1,1,CHECKPOINT,1769916600000000,PAIR_A,,80.0240,0,,,,
SINGLE_PAIR,F1,1,CHECKPOINT,1769918400000000,PAIR_A,,80.0240,0,,,,
SINGLE_PAIR,F2,2,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
SINGLE_PAIR,F2,2,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000002"", ""PAIR_A:O:000004"", ""PAIR_A:O:000006""]"
SINGLE_PAIR,F2,2,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000007"", ""PAIR_A:O:000008"", ""PAIR_A:O:000009""]"
SINGLE_PAIR,F2,2,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F2,2,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000010"", ""PAIR_A:O:000011"", ""PAIR_A:O:000012""]"
SINGLE_PAIR,F2,2,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000013"", ""PAIR_A:O:000014"", ""PAIR_A:O:000015""]"
SINGLE_PAIR,F2,2,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F2,2,CHECKPOINT,1769909400000000,PAIR_A,,60.0150,0,,,,
SINGLE_PAIR,F2,2,CHECKPOINT,1769911200000000,PAIR_A,,60.0150,0,,,,
SINGLE_PAIR,F2,2,CHECKPOINT,1769913000000000,PAIR_A,,60.0150,0,,,,
SINGLE_PAIR,F2,2,CHECKPOINT,1769914800000000,PAIR_A,,60.0150,0,,,,
SINGLE_PAIR,F2,2,CHECKPOINT,1769916600000000,PAIR_A,,60.0150,0,,,,
SINGLE_PAIR,F2,2,CHECKPOINT,1769918400000000,PAIR_A,,60.0150,0,,,,
SINGLE_PAIR,F5,5,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
SINGLE_PAIR,F5,5,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F5,5,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F5,5,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F5,5,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F5,5,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F5,5,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F5,5,CHECKPOINT,1769909400000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F5,5,CHECKPOINT,1769911200000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F5,5,CHECKPOINT,1769913000000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F5,5,CHECKPOINT,1769914800000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F5,5,CHECKPOINT,1769916600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F5,5,CHECKPOINT,1769918400000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
SINGLE_PAIR,F10,10,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F10,10,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F10,10,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F10,10,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F10,10,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
SINGLE_PAIR,F10,10,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,CHECKPOINT,1769909400000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,CHECKPOINT,1769911200000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,CHECKPOINT,1769913000000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,CHECKPOINT,1769914800000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,CHECKPOINT,1769916600000000,PAIR_A,,0,0,,,,
SINGLE_PAIR,F10,10,CHECKPOINT,1769918400000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F0,0,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
PARALLEL_TWO_PAIR,F0,0,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000002"", ""PAIR_A:O:000004"", ""PAIR_A:O:000006"", ""PAIR_A:O:000008"", ""PAIR_A:O:000010""]"
PARALLEL_TWO_PAIR,F0,0,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000011"", ""PAIR_A:O:000012"", ""PAIR_A:O:000013"", ""PAIR_A:O:000014"", ""PAIR_A:O:000015""]"
PARALLEL_TWO_PAIR,F0,0,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F0,0,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000016"", ""PAIR_A:O:000017"", ""PAIR_A:O:000018"", ""PAIR_A:O:000019"", ""PAIR_A:O:000020""]"
PARALLEL_TWO_PAIR,F0,0,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,"[""PAIR_A:O:000021"", ""PAIR_A:O:000022"", ""PAIR_A:O:000023"", ""PAIR_A:O:000024"", ""PAIR_A:O:000025""]"
