config,cycles,marked_return,open_position
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",7773,1.164473727,True
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",7773,1.164473727,True
"{""distances"": [2], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",225,0.040286775,True
"{""distances"": [2], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",225,0.040286775,True
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",43,0.009536333,True
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",43,0.009536333,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",7770,1.163827311,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",7759,1.162313478,True
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",7014,1.006036791,True
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",7014,1.006036791,True
"{""distances"": [2], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",220,0.039143104,True
"{""distances"": [2], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",220,0.039143104,True
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",39,0.008327496,True
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",39,0.008327496,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",7006,1.004439559,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",7006,1.004439559,True
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",5609,0.743065759,True
